微博id,发布者姓名,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HsPDYt5Rp,喜欢看海oO喜欢浪,男,陕西,100,38,喜欢看海oO喜欢浪:40岁: 健康Day88+1 放纵Day34 跳绳1000+趁着下雨， 看了一下《流浪地球》。。。。。。挺有意思的， 就是里面有些台词感觉很尬  原图 ,无,无,2019/5/5 22:32,荣耀9 美得有声有色,1,0,0
HsPBdkN46,绛_尘,女,青海,529,1303,绛_尘:#电影流浪地球#三刷流浪地球@电影流浪地球 ，依然很感动！@爱奇艺  [组图共3张] 原图 ,无,无,2019/5/5 22:26,张云雷 杨九郎V+,2,0,2
HsPA3wCt7,嗣潇,男,浙江,13,42,嗣潇:《流浪地球》电影最后空间站飞去自杀，怎么算都要1小时才能到吧……  ,无,无,2019/5/5 22:23,微博 weibo.com,0,0,0
HsPzX5lIy,京津冀的事儿,男,河北,391,369058,京津冀的事儿:【院线直击|#流浪地球最终票房46亿#  延期两月多卖近亿元】延期两个月下映的#流浪地球#5月5日迎来最后一天在院线上映，北京共5家影院仍在上映该影片，现场一位观众向@时间娱乐 表示这是国产科幻电影的里程碑。在延期两个月里该片收获票房9500万元，最终以46.54亿元排行中国影史票房亚军。@时间娱乐 http://t.cn/EoLgZMw ,无,无,2019/5/5 22:23,OPPO R9s,0,0,0
HsPwMg0f3,杨颖带你看成都熊猫大厦,男,海外,4509,1187,杨颖带你看成都熊猫大厦:#流浪地球# 吴京点燃木星拯救地球@腾讯视频 http://t.cn/ESXBI1u  ,无,无,2019/5/5 22:15,腾讯视频安卓客户端,0,0,0
HsPwrz6D3,我又有了五只猫,女,安徽,344,87,我又有了五只猫:我点评了流浪地球：  ,无,无,2019/5/5 22:14,vivo X20全面屏手机,1,0,0
HsPvLz3Ro,细雨鸣春沼-,女,湖南,57,135,细雨鸣春沼-:看流浪地球之后的感觉比复联四震撼多了，复联四没怎么看懂，也没啥感觉，小破球真的不错  原图 ,无,无,2019/5/5 22:12,红米Redmi,1,0,0
HsPvyysya,鳳李記24T快時訊,男,广东,5409,44173,鳳李記24T快時訊:【#院线直击#《流浪地球》最终票房46亿元 延期两月多卖近亿元】《流浪地球》2月5日上映，3月初决定延期两个月下映。5月5日，《流浪地球》迎来最后一天在院线上映，当天北京共有5家影院上映该影片。据统计，在延期的两个月里，一共收获票房9500万元，最终票房定格在46.54亿元。@时间娱乐 http://t.cn/EoLgZMw ,无,无,2019/5/5 22:12,财经正前方Android,0,0,0
HsPv4stVm,时间视频,男,北京,568,7000815,时间视频:【院线直击|#流浪地球最终票房46亿#  延期两月多卖近亿元】延期两个月下映的#流浪地球#5月5日迎来最后一天在院线上映，北京共5家影院仍在上映该影片，现场一位观众向@时间娱乐 表示这是国产科幻电影的里程碑。在延期两个月里该片收获票房9500万元，最终以46.54亿元排行中国影史票房亚军。@时间娱乐 http://t.cn/EoLgZMw ,无,无,2019/5/5 22:11,360安全浏览器,27,2,24
HsPt175Lg,时间娱乐,男,北京,449,207222,时间娱乐:【#院线直击#《流浪地球》终下映 延期俩月多卖近亿】延期两个月下映的#流浪地球#今天迎来最后一天在院线上映，北京5家影院仍在上映该片，现场一位观众向@时间娱乐 表示这是国产科幻电影里程碑。延期两个月收获票房9500万元，#流浪地球内地总票房# 以46.54亿元排行中国影史票房亚军时间娱乐的秒拍视频  ,无,无,2019/5/5 22:05,360安全浏览器,2,0,0
HsPsAt4gH,猪菠萝的原创日常,女,其他,136,5,猪菠萝的原创日常:旺柴版流浪地球  [组图共2张] 原图 ,无,无,2019/5/5 22:04,iPhone客户端,1,0,0
HsPrlFLkc,漫威锦鲤,女,湖北,263,389167,漫威锦鲤:#复仇者联盟4:终局之战# 今天票房只有5100万差不多是昨天的镜头。断崖式的票房下，下周又要碰上#电影大侦探皮卡丘# 。感觉超《流浪地球》比较困难了……  原图 ,无,无,2019/5/5 22:01,iPhone客户端,1,0,0
HsPoaAKML,云花花-我是一只小小小小鸟,女,浙江,342,148,云花花-我是一只小小小小鸟:带着爸妈一起看了流浪地球，哎嘿，好评如潮！  ,无,无,2019/5/5 21:54,微博 weibo.com,2,0,0
HsPmmjzIr,程序员新视界,男,浙江,5863,552036,程序员新视界:《流浪地球》中关于程序员的Bug  原图 ,无,无,2019/5/5 21:49,微博 weibo.com,230,28,50
HsPm3DiNf,祛斑美白护肤顾问心雨,男,福建,147,116,祛斑美白护肤顾问心雨:流浪地球 有什么好看的推理电影值得推荐？  ,无,无,2019/5/5 21:48,柔光自拍vivo X7Plus,0,0,0
HsPkdD6Yl,些子清明,男,浙江,75,55,些子清明:我寻思我流浪地球也看了，红海行动也看了，我看个美国队长怎么就成媚外了？？？  ,无,无,2019/5/5 21:44,Share微博客户端,1,0,2
HsPjEquO8,少女心不死心,女,上海,224,205,少女心不死心:有时候总有一种冲动、想要逃出自己的一亩三分地去流浪地球… 长治  显示地图 [组图共2张] 原图 ,无,无,2019/5/5 21:42,iPhone客户端,2,0,0
HsPj1qjHD,不是兵马俑-,男,台湾,485,4244,不是兵马俑-:最后那件事情的结局是我买一套菲利普迪克寄给我朋友，叫他看高堡奇人，后面四本可以不用看。结果大哥看的如痴如醉废寝忘食，五本看完马上不再给我大放厥词，再也没有给我吹过流浪地球的逼。一套PKD才多钱，买他一个心服口服我真是花的太值。  ,无,无,2019/5/5 21:41,正在养生的iPhone X,1,0,2
HsPizmvKv,电玩小熊,男,广东,74,94,电玩小熊:我们就是今天的热搜的白兵武士.... 我们也不知道为什么会被推上去变成了流浪地球... 这个我们是不知情的 #今天星球大戰蹭熱度了嗎##流浪地球##今天星球大战蹭热度了吗# 电玩小熊的秒拍视频  ,无,无,2019/5/5 21:40,iPhone客户端,7,0,0
HsPisB3v0,五月微雨_,女,广东,217,376,五月微雨_:越来越淘气可爱的哥哥，爸爸今天给他理了个新发型，好好的一个文艺男给整得像从流浪地球回来的，过几天等我慢慢看顺眼了再拍照吧。  [组图共9张] 原图 ,无,无,2019/5/5 21:39,HUAWEI P10 Plus,0,0,0
HsPhGq1tU,中国电影报道,男,北京,1987,8610077,中国电影报道:【此“前任”非彼“前任”  郑恺新作被指蹭IP热度】今年的五一档由#郑恺[超话]# #郭采洁[超话]# 主演的电影#下一任前任[超话]# ，不少网友将其误认为《前任》系列电影的第四部。近日，《前任》系列电影和《下一任：前任》分别发布声明，《下一任》表示该片并不是《前任4》，而《前任》系列电影也发声明称部分营销账号涉嫌故意误导网友和观众。#复仇者联盟4:终局之战#上映第11天票房超38亿，超过#红海行动[超话]# 的36.51亿，冲进中国内地票房总榜前三，仅次于#战狼2[超话]# 的56.82亿和#流浪地球# 的46.56亿。究竟#复联4[超话]# 具备哪些“天时、地利、人和”呢？http://t.cn/EoLTEes ,无,无,2019/5/5 21:38,微博 weibo.com,30,12,32
HsPfdkWt3,往后余生只爱山支,女,广东,335,234,往后余生只爱山支:#山支牌海底捞[超话]# [兔子]#孟美岐 犟# 山支大哥 #孟美岐ep#空中软带舞<幸运球康师傅冰红茶燃战队代言人;2019还要一起时尚健康秒切[舞蹈，三行情书[岐遇] 犟》蒙牛纯甄好喝鉴定官;个人首封.流浪地球;继续努力永不认输<篮球大唱片^科颜氏首位美肤体验官^童年照]急出东北话<ELLEMEN新青年[给爸妈的信]中华魔丽迅白%挑战孟美岐的biki照^加油<小时候%@火箭少女101_孟美岐 原图 ,无,无,2019/5/5 21:31,山支牌海底捞超话,0,0,12
HsPeFEwFf,嘟嘟丶小怪兽,女,山西,98,95,嘟嘟丶小怪兽:斥巨资给学生看了流浪地球  ,无,无,2019/5/5 21:30,HUAWEI P20,2,0,9
HsPe8ysZP,砂糖草莓牛奶巧克力蛋糕,女,海外,694,4276,砂糖草莓牛奶巧克力蛋糕:和老公把流浪地球看完了，哭得睫毛膏都花了真心觉得亚洲没其他地方拍出过这样感觉的SF……不管什么层面上来看都好好看………  ,无,无,2019/5/5 21:29,iPhone,7,0,12
