wid,time,text,uid,like_count,username,following,followed,gender
4.34E+15,Fri Feb 08 16:42:47 +0800 2019,"三体<span class=""url-icon""><img alt=[喵喵] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-61fe2a7aaa.png"" style=""width:1em; height:1em;"" /></span>红岸基地",2117023131,1,盛夏光年_YOUNG,68,6294,m
4.34E+15,Fri Feb 08 16:43:05 +0800 2019,"硬科幻<span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>",1824778890,2,MarsC2013,300,664,f
4.34E+15,Fri Feb 08 16:43:10 +0800 2019,"我觉得这电影一点逻辑都没有,很失望。要什么行星发动机?只需要装上一万个喷子,以杠精为燃料,以键盘为系统,尤其是赤道上的转向喷子,360度无死角喷射,分分钟就将地球送出太阳系了,这么费力干嘛?",3146606464,2566,奔跑的大姨马,107,2562065,m
4.34E+15,Fri Feb 08 16:43:14 +0800 2019,"超级赞的电影！<span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-644bcfa993.png"" style=""width:1em; height:1em;"" /></span>剔除那个女生突然的煽情，一切都很完美",1832680815,1,Monica_WML,163,1130,f
4.34E+15,Fri Feb 08 16:43:17 +0800 2019,蛮感动的，泪目两次,6355136206,1,兴兴的脸谱,293,163,f
4.34E+15,Fri Feb 08 16:43:28 +0800 2019,"流浪地球#有种(电影《流浪地球》推广曲)[音乐]#<span class=""url-icon""><img alt=[赞] src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-e3d1e596da.png"" style=""width:1em; height:1em;"" /></span>",5350128635,1,魔芋卤蛋,132,11763,f
4.34E+15,Fri Feb 08 16:43:39 +0800 2019,以科幻评论科学片是对其最好的尊重。少谈一些杂七杂八的。,1274733974,62,VR小丑鱼,2111,23213,f
4.34E+15,Fri Feb 08 16:43:49 +0800 2019,看啦看啦，特别棒！<a href='/n/罗云熙Leo'>@罗云熙Leo</a>,6726129671,1,唯爱熙熙的MI,359,273,f
4.34E+15,Fri Feb 08 16:44:10 +0800 2019,厉害厉害，图文解释，比自己想的准确多了。,5797504211,6,燎绳嘹笙,33,45,m
4.34E+15,Fri Feb 08 16:44:14 +0800 2019,"央妈发话了<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span>",2331788385,1,相思扇,267,1034,f
4.34E+15,Fri Feb 08 16:44:34 +0800 2019,"马克一下，还没看<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-9aa3c436a4.png"" style=""width:1em; height:1em;"" /></span>",1885731104,2,张佳斌,397,1087,m
4.34E+15,Fri Feb 08 16:44:42 +0800 2019,流浪地球,5109666171,1,烟火world骑士,266,1904,f
4.34E+15,Fri Feb 08 16:44:56 +0800 2019,异国他乡昨天刚看,3230303770,1,月光如水海南鸡饭,134,138,f
4.34E+15,Fri Feb 08 16:45:14 +0800 2019,"【《流浪地球》别光看特效！这里的科学奥秘更厉害<span class=""url-icon""><img alt=[思考] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-c599fd085f.png"" style=""width:1em; height:1em;"" /></span>】",2062204527,7,平安金凤,653,13527,m
4.34E+15,Fri Feb 08 16:45:15 +0800 2019,"官方卖安利，果然硬核<span class=""url-icon""><img alt=[跪了] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guile-7b3e474f7f.png"" style=""width:1em; height:1em;"" /></span>",2487978343,12,鸭鸭跖,92,53,f
4.34E+15,Fri Feb 08 16:45:39 +0800 2019,"央视发话了，票房稳了<span class=""url-icon""><img alt=[吃瓜] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" style=""width:1em; height:1em;"" /></span>",5446867406,16,取名废QOQ,95,45,f
4.34E+15,Fri Feb 08 16:45:58 +0800 2019,非常好看，非常感人,1248692505,1,leslie9128,671,307,f
4.34E+15,Fri Feb 08 16:46:18 +0800 2019,科学解析，棒,5780634556,1,windy橙,390,263,f
4.34E+15,Fri Feb 08 16:46:43 +0800 2019,小破球票房已经实现了历史性的反超，成功的在竞争异常激烈的春节档中登上了票房冠军的宝座！,3215024513,1,可能是个帅哥,179,88,m
4.34E+15,Fri Feb 08 16:46:50 +0800 2019,一定去看！,1812525487,1,LCG319,950,1082,m
4.34E+15,Fri Feb 08 16:46:52 +0800 2019,"大型科普文<span class=""url-icon""><img alt=[酷] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_ku-6fa1a42f7b.png"" style=""width:1em; height:1em;"" /></span>",1786805537,1,何siri先森,331,182,m
4.34E+15,Fri Feb 08 16:46:58 +0800 2019,流浪地球电影和歌都是精品！！#有种(电影《流浪地球》推广曲)[音乐]#,5849043366,1,山支大哥的人er,528,190,f
4.34E+15,Fri Feb 08 16:46:59 +0800 2019,值得观看的一部电影，真的很好,6034072151,1,小明的围巾呐,521,204,f
4.34E+15,Fri Feb 08 16:47:03 +0800 2019,流浪地球 有种！#有种 (电影《流浪地球》推广曲)[音乐]#,6378561689,1,看着岐岐学英语,359,10571,f
4.34E+15,Fri Feb 08 16:47:24 +0800 2019,流浪地球真的好看今天看了!<a href='/n/央视新闻'>@央视新闻</a>,2744236767,3,数萼初晴光映雪,787,1609,f
4.34E+15,Fri Feb 08 16:47:31 +0800 2019,这是一篇科普,1735849221,1,二萌纸,623,3047,f
